120.0, 20.0, 20.0, 300.0, 20.0, 20.0
120.0, 20.0, 200.0, 300.0, 20.0, 200.0
120.0, 200.0, 20.0, 300.0, 200.0, 20.0
120.0, 200.0, 200.0, 300.0, 200.0, 200.0
120.0, 20.0, 20.0, 120.0, 20.0, 200.0
120.0, 200.0, 20.0, 120.0, 200.0, 200.0
300.0, 20.0, 20.0, 300.0, 20.0, 200.0
300.0, 200.0, 20.0, 300.0, 200.0, 200.0
120.0, 20.0, 20.0, 120.0, 200.0, 20.0
120.0, 20.0, 200.0, 120.0, 200.0, 200.0
300.0, 20.0, 20.0, 300.0, 200.0, 20.0
300.0, 20.0, 200.0, 300.0, 200.0, 200.0
420.0, 20.0, 20.0, 600.0, 20.0, 20.0
420.0, 20.0, 200.0, 600.0, 20.0, 200.0
420.0, 200.0, 20.0, 600.0, 200.0, 20.0
420.0, 200.0, 200.0, 600.0, 200.0, 200.0
420.0, 20.0, 20.0, 420.0, 20.0, 200.0
420.0, 200.0, 20.0, 420.0, 200.0, 200.0
600.0, 20.0, 20.0, 600.0, 20.0, 200.0
600.0, 200.0, 20.0, 600.0, 200.0, 200.0
420.0, 20.0, 20.0, 420.0, 200.0, 20.0
420.0, 20.0, 200.0, 420.0, 200.0, 200.0
600.0, 20.0, 20.0, 600.0, 200.0, 20.0
600.0, 20.0, 200.0, 600.0, 200.0, 200.0
120.0, 420.0, 20.0, 300.0, 420.0, 20.0
120.0, 420.0, 200.0, 300.0, 420.0, 200.0
120.0, 600.0, 20.0, 300.0, 600.0, 20.0
120.0, 600.0, 200.0, 300.0, 600.0, 200.0
120.0, 420.0, 20.0, 120.0, 420.0, 200.0
120.0, 600.0, 20.0, 120.0, 600.0, 200.0
300.0, 420.0, 20.0, 300.0, 420.0, 200.0
300.0, 600.0, 20.0, 300.0, 600.0, 200.0
120.0, 420.0, 20.0, 120.0, 600.0, 20.0
120.0, 420.0, 200.0, 120.0, 600.0, 200.0
300.0, 420.0, 20.0, 300.0, 600.0, 20.0
300.0, 420.0, 200.0, 300.0, 600.0, 200.0
420.0, 420.0, 20.0, 600.0, 420.0, 20.0
420.0, 420.0, 200.0, 600.0, 420.0, 200.0
420.0, 600.0, 20.0, 600.0, 600.0, 20.0
420.0, 600.0, 200.0, 600.0, 600.0, 200.0
420.0, 420.0, 20.0, 420.0, 420.0, 200.0
420.0, 600.0, 20.0, 420.0, 600.0, 200.0
600.0, 420.0, 20.0, 600.0, 420.0, 200.0
600.0, 600.0, 20.0, 600.0, 600.0, 200.0
420.0, 420.0, 20.0, 420.0, 600.0, 20.0
420.0, 420.0, 200.0, 420.0, 600.0, 200.0
600.0, 420.0, 20.0, 600.0, 600.0, 20.0
600.0, 420.0, 200.0, 600.0, 600.0, 200.0
